#
#  CIJET_MassBin-4200-8000_cteq6ll_5000_RR+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      7.26767e-03      2.99904e-06        0.041      40
   2.0        3.0      3.63700e-03      1.85164e-06        0.051      43
   3.0        4.0      2.17319e-03      1.45170e-06        0.067      43
   4.0        5.0      1.43412e-03      6.40870e-07        0.045       8
   5.0        6.0      1.00850e-03      1.83402e-06        0.182      12
   6.0        7.0      7.42646e-04      7.42311e-07        0.100      13
   7.0        8.0      5.64446e-04      2.72688e-07        0.048      13
   8.0        9.0      4.39677e-04      4.79850e-07        0.109      13
   9.0       10.0      3.48992e-04      5.21289e-07        0.149      12
  10.0       12.0      2.55538e-04      3.51872e-07        0.138      13
  12.0       14.0      1.72927e-04      2.27866e-07        0.132      13
  14.0       16.0      1.20215e-04      1.78401e-07        0.148      13
