#
#  CIJET_MassBin-4200-8000_cteq6ll_6000_VV+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      8.42735e-03      3.33244e-06        0.040      40
   2.0        3.0      4.31230e-03      2.16613e-06        0.050      43
   3.0        4.0      2.62726e-03      1.49751e-06        0.057      43
   4.0        5.0      1.75888e-03      6.40870e-07        0.036       8
   5.0        6.0      1.24983e-03      2.03753e-06        0.163      12
   6.0        7.0      9.27446e-04      8.15082e-07        0.088      13
   7.0        8.0      7.08785e-04      3.46040e-07        0.049      13
   8.0        9.0      5.54400e-04      5.36967e-07        0.097      13
   9.0       10.0      4.41300e-04      5.93908e-07        0.135      12
  10.0       12.0      3.23973e-04      3.83849e-07        0.118      13
  12.0       14.0      2.19385e-04      2.75669e-07        0.126      13
  14.0       16.0      1.52169e-04      2.43703e-07        0.160      13
