#
#  CIJET_MassBin-4200-8000_cteq6ll_7000_V-A-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      9.77902e-04      3.32425e-07        0.034      40
   2.0        3.0      5.62542e-04      3.36815e-07        0.060      43
   3.0        4.0      3.80979e-04      2.16639e-07        0.057      43
   4.0        5.0      2.78113e-04      1.12599e-07        0.040       8
   5.0        6.0      2.12908e-04      1.37895e-07        0.065      12
   6.0        7.0      1.68769e-04      7.51068e-08        0.045      13
   7.0        8.0      1.37223e-04      7.25011e-08        0.053      13
   8.0        9.0      1.13992e-04      1.03775e-07        0.091      13
   9.0       10.0      9.62925e-05      1.28355e-07        0.133      12
  10.0       12.0      7.70923e-05      4.49359e-08        0.058      13
  12.0       14.0      5.91000e-05      4.56435e-08        0.077      13
  14.0       16.0      4.68308e-05      5.50320e-08        0.118      13
