#
#  CIJET_MassBin-4200-8000_cteq6ll_7000_VV-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.19253e-03      2.27571e-06        0.037      40
   2.0        3.0      3.31993e-03      1.47027e-06        0.044      43
   3.0        4.0      2.14633e-03      1.20950e-06        0.056      43
   4.0        5.0      1.53162e-03      5.17549e-07        0.034       8
   5.0        6.0      1.16358e-03      1.16450e-06        0.100      12
   6.0        7.0      9.23877e-04      3.29530e-07        0.036      13
   7.0        8.0      7.57592e-04      3.92559e-07        0.052      13
   8.0        9.0      6.36577e-04      3.08636e-07        0.048      13
   9.0       10.0      5.45608e-04      2.90637e-07        0.053      12
  10.0       12.0      4.47350e-04      2.99305e-07        0.067      13
  12.0       14.0      3.55642e-04      1.81253e-07        0.051      13
  14.0       16.0      2.92919e-04      1.65250e-07        0.056      13
