 Lambda=11000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1376D-02  0.3428D-05
  2.00  3.00  0.7288D-03  0.2710D-05
  3.00  4.00  0.4658D-03  0.2184D-05
  4.00  5.00  0.3280D-03  0.1877D-05
  5.00  6.00  0.2464D-03  0.1711D-05
  6.00  7.00  0.1949D-03  0.1536D-05
  7.00  8.00  0.1569D-03  0.1451D-05
  8.00  9.00  0.1303D-03  0.1369D-05
  9.00 10.00  0.1104D-03  0.1313D-05
 10.00 12.00  0.1800D-03  0.1820D-05
 12.00 14.00  0.1387D-03  0.1711D-05
 14.00 16.00  0.1115D-03  0.1626D-05
