 Lambda= 5000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.7571D-01  0.2130D-03
  2.00  3.00  0.3910D-01  0.1612D-03
  3.00  4.00  0.2423D-01  0.1246D-03
  4.00  5.00  0.1672D-01  0.9992D-04
  5.00  6.00  0.1229D-01  0.8624D-04
  6.00  7.00  0.9516D-02  0.7613D-04
  7.00  8.00  0.7406D-02  0.6800D-04
  8.00  9.00  0.6169D-02  0.6280D-04
  9.00 10.00  0.5135D-02  0.5754D-04
 10.00 12.00  0.8134D-02  0.7501D-04
 12.00 14.00  0.6145D-02  0.6665D-04
 14.00 16.00  0.4821D-02  0.6190D-04
