 Lambda=15000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.1171D-03  0.1357D-07
  2.00  3.00 -0.1015D-03  0.2299D-07
  3.00  4.00 -0.9472D-04  0.1693D-07
  4.00  5.00 -0.8808D-04  0.1196D-07
  5.00  6.00 -0.8181D-04  0.1236D-07
  6.00  7.00 -0.7615D-04  0.2174D-07
  7.00  8.00 -0.7114D-04  0.1725D-07
  8.00  9.00 -0.6671D-04  0.1021D-07
  9.00 10.00 -0.6279D-04  0.9052D-08
 10.00 12.00 -0.1155D-03  0.1650D-07
 12.00 14.00 -0.1043D-03  0.2423D-07
 14.00 16.00 -0.9535D-04  0.2366D-07
