 Lambda= 9000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2994D-02  0.3933D-06
  2.00  3.00  0.1030D-02  0.2285D-06
  3.00  4.00  0.2429D-03  0.1155D-06
  4.00  5.00 -0.1182D-03  0.1061D-06
  5.00  6.00 -0.2988D-03  0.6943D-07
  6.00  7.00 -0.3930D-03  0.8562D-07
  7.00  8.00 -0.4420D-03  0.8773D-07
  8.00  9.00 -0.4665D-03  0.9581D-07
  9.00 10.00 -0.4764D-03  0.1018D-06
 10.00 12.00 -0.9518D-03  0.1866D-06
 12.00 14.00 -0.9259D-03  0.2132D-06
 14.00 16.00 -0.8880D-03  0.1851D-06
